ID;numeroCiclo;autor_ID;partido_ID;minuto;forma_ID;enContra;nroEnCiclo;nroPersonal;asistente_ID;numeroAsistenciaEnCiclo;numeroAsistencia;inicio;fin
1;1;Teófilo Gutierrez;2;90+1;Pelota parada;false;1;1;Leonardo Pisculichi;1;1;297;306
2;2;Teófilo Gutierrez;3;16;Jugada;false;2;2;Leonel Vangioni;1;1;97;104
3;3;Leonardo Pisculichi;3;80;Jugada;false;1;1;Julio Chiarini;1;1;268;276
4;4;Carlos Sánchez;5;2;Jugada;false;1;1;Leonel Vangioni;2;2;36;47
5;5;Teófilo Gutierrez;5;4;Jugada;false;3;3;Rodrigo Mora;1;1;98;108
6;6;Rodrigo Mora;5;16;Pelota parada;false;1;1;Leonardo Pisculichi;2;2;248;254
7;7;Teófilo Gutierrez;5;63;Jugada;false;4;4;Tomás Andrade;1;1;382;397
8;8;Carlos Sánchez;6;33;Jugada;false;2;2;Leonardo Pisculichi;3;3;91;99
9;9;Carlos Sánchez;6;43;Jugada;false;3;3;N/A;N/A;N/A;115;123
10;10;Teófilo Gutierrez;6;77;Jugada;false;5;5;Gabriel Mercado;1;1;180;189
11;11;Leonardo Pisculichi;7;12;Jugada;false;2;2;Ariel Rojas;1;1;138;206
12;12;Teófilo Gutierrez;7;59;Jugada;false;6;6;Leonardo Pisculichi;4;4;262;274
13;13;Lucas Boyé;7;79;Pelota parada;false;1;1;Tomás Martínez;1;1;370;378
14;14;Germán Pezzela;8;90+2;Pelota parada;false;1;1;Leonardo Pisculichi;5;5;81;87
15;15;Rodrigo Mora;9;34;Jugada;false;2;2;Carlos Sánchez;1;1;29;47
16;16;Rodrigo Mora;9;48;Jugada;false;3;3;Ariel Rojas;2;2;113;127
17;17;Rodrigo Mora;10;28;Jugada;false;4;4;Teófilo Gutiérrez;1;1;55;65
18;18;Rodrigo Mora;10;32;Pelota parada;false;5;5;N/A;N/A;N/A;81;89
19;19;Leonardo Pisculichi;11;4;Tiro libre;false;3;3;N/A;N/A;N/A;10;20
20;20;Ariel Rojas;11;37;Pelota parada;false;1;1;N/A;N/A;N/A;151;159
21;21;Teófilo Gutierrez;11;66;Jugada;false;7;7;N/A;N/A;N/A;323;335
22;22;Rodrigo Mora;11;78;Jugada;false;6;6;Tomás Martínez;2;2;393;402
23;23;Leonardo Pisculichi;12;51;Jugada;false;4;4;N/A;N/A;N/A;41;49
24;24;Teófilo Gutierrez;13;71;Jugada;false;8;8;Ariel Rojas;3;3;260;290
25;25;Germán Pezzela;14;78;Jugada;false;2;2;Ramiro Funes Mori;1;1;345;353
26;26;Ramiro Funes Mori;16;68;Pelota parada;false;1;1;Leonardo Pisculichi;6;6;257;263
27;27;Carlos Sánchez;17;61;Jugada;false;4;4;Ramiro Funes Mori;2;2;48;61
28;28;Sebastián Driussi;17;72;Jugada;false;1;1;Rodrigo Mora;2;2;82;92
29;29;Giovanni Simeone;17;77;Jugada;false;1;1;Leonardo Pisculichi;7;7;114;125
30;30;Leonel Vangioni;18;34;Jugada;false;1;1;Ariel Rojas;4;4;137;145
31;31;Teófilo Gutierrez;18;73;Jugada;false;9;9;Carlos Sánchez;2;2;284;290
32;32;Teófilo Gutierrez;18;88;Jugada;false;10;10;Carlos Sánchez;3;3;359;368
33;33;Gabriel Mercado;19;43;Jugada;false;1;1;N/A;N/A;N/A;20;31
34;34;Giovanni Simeone;19;90+2;Jugada;false;2;2;Ramiro Funes Mori;3;3;61;69
35;35;Leonardo Pisculichi;20;50;Tiro libre;false;5;5;N/A;N/A;N/A;82;89
36;36;Ariel Rojas;20;66;Jugada;false;2;2;Giovanni Simeone;1;1;157;166
37;37;Rodrigo Mora;21;53;Jugada;false;7;7;Carlos Sánchez;4;4;51;60
38;38;Jonathan Schunke;21;71;Jugada;true;1;1;N/A;N/A;N/A;76;83
39;39;Teófilo Gutierrez;22;1;Jugada;false;11;11;Leonardo Pisculichi;8;8;0;7
40;40;Rodrigo Mora;22;61;Pelota parada;false;8;8;Leonardo Pisculichi;9;9;260;266
41;41;Ramiro Funes Mori;22;63;Pelota parada;false;2;2;Leonardo Pisculichi;10;10;326;332
42;42;Gabriel Mercado;23;38;Pelota parada;false;2;2;N/A;N/A;N/A;83;98
43;43;Ramiro Funes Mori;25;24;Pelota parada;false;3;3;Leonardo Pisculichi;11;11;0;9
44;44;Leonardo Pisculichi;28;16;Jugada;false;6;6;Leonel Vangioni;3;3;454;464
45;45;Fernando Cavenaghi;29;54;Jugada;false;1;1;Carlos Sánchez;5;5;127;136
46;46;Carlos Sánchez;29;57;Jugada;false;5;5;Augusto Solari;1;1;219;227
47;47;Fernando Cavenaghi;29;73;Penal;false;2;2;N/A;N/A;N/A;400;406
48;48;Leonardo Pisculichi;30;66;Jugada;false;7;7;Teófilo Gutiérrez;2;2;481;489
49;49;Gabriel Mercado;31;55;Pelota parada;false;3;3;Leonardo Pisculichi;12;12;387;393
