ID;nacionalidad
Adrián Balboa;Uruguay
Agustín Palavecino;Argentina
Alan Picazzo;Argentina
Andrés D'Alessandro;Argentina
Ariel Rojas;Argentina
Arturo Mina;Ecuador
Augusto Solari;Argentina
Benjamín Rollheiser;Argentina
Braian Romero;Argentina
Bruno Sepúlveda;Argentina
Bruno Zuculini;Argentina
Camilo Mayada;Uruguay
Carlos Auzqui;Argentina
Carlos Izquierdoz;Argentina
Carlos Sánchez;Uruguay
Claudio Corvalán;Argentina
Claudio Echeverry;Argentina
Cristian Ferreira;Argentina
Damián Martínez;Argentina
David Martínez;Paraguay
Éder Balanta;Colombia
Elías Gómez;Argentina
Emanuel Mammana;Argentina
Emiliano Méndez;Argentina
Enzo Díaz;Argentina
Enzo Fernández;Argentina
Enzo Pérez;Argentina
Esequiel Barco;Argentina
Exequiel Palacios;Argentina
Fabrizio Angileri;Argentina
Facundo Colidio;Argentina
Federico Girotti;Argentina
Fernando Cavenaghi;Argentina
Fernando Torrent;Argentina
Gabriel Mercado;Argentina
Germán Pezzela;Argentina
Giovanni Simeone;Argentina
Gonzalo Martínez;Argentina
Gonzalo Montiel;Argentina
Guido Rodríguez;Argentina
Gustavo Canto;Argentina
Héctor Varela;Argentina
Hernán López;Argentina
Ignacio Canuto;Argentina
Ignacio Fernández;Argentina
Ignacio Scocco;Argentina
Iván Alonso;Uruguay
Javier Pinola;Argentina
Joaquín Arzura;Argentina
Joaquín Pereyra;Argentina
Jonatan Maidana;Argentina
Jonathan Schunke;Argentina
Jorge Carrascal;Colombia
Jorge Moreira;Paradela
José Paradela;Argentina
Juan Fernando Quintero;Colombia
Juan Kaprof;Argentina
Julián Álvarez;Argentina
Julio Chiarini;Argentina
Leandro González Pírez;Argentina
Leonardo Burián;Uruguay
Leonardo Pisculichi;Argentina
Leonardo Ponzio;Argentina
Leonel Miranda;Argentina
Leonel Vangioni;Argentina
Lucas Alario;Argentina
Lucas Beltrán;Argentina
Lucas Boyé;Argentina
Lucas Martínez Quarta;Argentina
Lucas Pratto;Argentina
Luciano Lollo;Argentina
Luis González;Argentina
Marcelo Herrera;Argentina
Marcelo Larrondo;Argentina
Marcelo Saracchi;Uruguay
Mariano Bareiro;Argentina
Matías Ibáñez;Argentina
Matías Moya;Argentina
Matías Suárez;Argentina
Miguel Borja;Colombia
Milton Casco;Argentina
Nicolás De la Cruz;Uruguay
Nicolás Domingo;Argentina
Pablo Solari;Argentina
Paulo Díaz;Chile
Rafael Santos Borré;Colombia
Ramiro Funes Mori;Argentina
Robert Rojas;Paraguay
Rodrigo Aliendro;Argentina
Rodrigo Mora;Uruguay
Salomón Rondón;Venezuela
Santiago Simón;Argentina
Sebastián Driussi;Argentina
Tabaré Viudez;Uruguay
Teófilo Gutierrez;Colombia
Thiago Mendes;Brasil
Tomás Martínez;Argentina
Tomás Pochettino;Argentina
