ID,equipo_ID,fecha,condicion_ID,competencia_ID,golesAFavor,golesRecibidos,dt_ID,video_ID
1,Ferro Carril Oeste,27/07/14,Neutral,Copa Argentina,0,0,Marcelo Gallardo,1
2,Gimnasia LP,10/08/14,Visitante,Torneo Local,1,1,Marcelo Gallardo,2
3,Rosario Central,17/08/14,Local,Torneo Local,2,0,Marcelo Gallardo,3
4,Colón,20/08/14,Neutral,Copa Argentina,0,0,Marcelo Gallardo,4
5,Godoy Cruz,24/08/14,Visitante,Torneo Local,4,0,Marcelo Gallardo,5
6,Defensa y Justicia,27/08/14,Local,Torneo Local,3,0,Marcelo Gallardo,6
7,San Lorenzo,31/08/14,Visitante,Torneo Local,3,1,Marcelo Gallardo,7
8,Godoy Cruz,03/09/14,Visitante,Sudamericana,1,0,Marcelo Gallardo,8
9,Tigre,07/09/14,Local,Torneo Local,2,0,Marcelo Gallardo,9
10,Godoy Cruz,17/09/14,Local,Sudamericana,2,0,Marcelo Gallardo,10
11,Independiente,21/09/14,Local,Torneo Local,4,1,Marcelo Gallardo,11
12,Arsenal,25/09/14,Visitante,Torneo Local,1,1,Marcelo Gallardo,12
13,Lanús,28/09/14,Visitante,Torneo Local,1,1,Marcelo Gallardo,13
14,Boca,05/10/14,Local,Torneo Local,1,1,Marcelo Gallardo,14
15,Rosario Central,09/10/14,Neutral,Copa Argentina,0,0,Marcelo Gallardo,15
16,Newell's,12/10/14,Visitante,Torneo Local,1,0,Marcelo Gallardo,16
17,Libertad,16/10/14,Visitante,Sudamericana,3,1,Marcelo Gallardo,17
18,Belgrano,19/10/14,Local,Torneo Local,3,0,Marcelo Gallardo,18
19,Libertad,22/10/14,Local,Sudamericana,2,0,Marcelo Gallardo,19
20,Rafaela,26/10/14,Visitante,Torneo Local,2,1,Marcelo Gallardo,20
21,Estudiantes,29/10/14,Visitante,Sudamericana,2,1,Marcelo Gallardo,21
22,Estudiantes,06/11/14,Local,Sudamericana,3,2,Marcelo Gallardo,22
